GIBACZPX;Česká Spořitelna
KOMBCZPP;Komerční Banka
CEKOCZPP;ČSOB
RZBCCZPP;Raiffeisenbank
BACXCZPP;UniCredit Bank
AGBACZPP;Moneta Money Bank
FIOBCZPP;FIO Banka
BREXCZPP;mBank
AIRACZPP;AirBank
INGBCZPP;ING Bank
OBKLCZ2X;Oberbank
SUBACZPP;VÚB Praha
BPPFCZP1;Hello bank!
CTASCZ22;CREDITAS
EXPNCZPP;Max banka
JTBPCZPP;J&T Banka
TATRSKBX;Tatra Banka
SUBASKBX;VÚB
UNCRSKBX;UniCredit Bank SK
GIBASKBX;Slovenská Sporiteľňa
CEKOSKBX;ČSOB SK
POBNSKBA;Poštová Banka
OTPVSKBX;OTP Banka Slovensko
KOMASK2X;Prima Banka Slovensko
CITISKBA;Citibank Europe
FIOZSKBA;Fio banka SK
BREXSKBX;mBank SK
INGBSKBX;ING Bank SK
JTBPSKBA;J&T Banka SK
OBKLSKBA;Oberbank SK
BSLOSK22;Privatbanka
BFKKSKBB;BKS Bank
TATRSKBXXXX;Raiffeisenbank SK
KOMBSKBA;Komerční banka SK